what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1584018347453
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1584018347453
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1584018347453
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1584018347454
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1584018347454
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1584018347454
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1584018347455
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1584018347455
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1584018347455
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1584018347456
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1584018347456
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1584018347456
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1584018347457
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1584018347457
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1584018347457
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1584018347458
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1584018347458
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1584018347459
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1584018347459
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1584018347459
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1584018347459
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1584018347460
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1584018347460
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1584018347461
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1584018347461
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1584018347461
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1584018347462
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1584018347462
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1584018347462
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1584018347463
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1584018347463
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1584018347463
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1584018347464
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1584018347464
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1584018347464
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1584018347465
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1584018347465
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1584018347465
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1584018347466
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1584018347466
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1584018347466
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1584018347467
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1584018347467
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1584018347467
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1584018347468
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1584018347468
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1584018347469
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1584018347469
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1584018347469
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1584018347469
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1584018347470
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1584018347470
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1584018347470
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1584018347470
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1584018347471
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1584018347471
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1584018347471
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1584018347472
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1584018347472
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1584018347472
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1584018347473
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1584018347473
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1584018347473
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1584018347474
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1584018347474
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1584018347474
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1584018347475
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1584018347475
os,sysinfo,,,"win32",1584018347476
arch,sysinfo,,,"x86",1584018347476
ws,sysinfo,,,"win32",1584018347476
locale,sysinfo,,,"en_GB",1584018347476
processors,sysinfo,,,"6",1584018347476
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1584018347476
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1584018347476
java.specification.name,sysinfo,,,"Java Platform API Specification",1584018347476
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584018347476
java.specification.version,sysinfo,,,"1.6",1584018347476
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1584018347476
java.version,sysinfo,,,"1.6.0_23",1584018347476
java.vm.info,sysinfo,,,"mixed mode",1584018347476
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1584018347476
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1584018347476
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584018347476
java.vm.specification.version,sysinfo,,,"1.0",1584018347476
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1584018347476
java.vm.version,sysinfo,,,"19.0-b09",1584018347476
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584018349833
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584018350303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018353644
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1584018355936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018355961
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1584018355967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1584018355967
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1584018360723
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1584018360831
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1584018360834
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1584018360835
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1584018360835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018361126
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1584018391115
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1584018391141
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1584018391819
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1584018392511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018397046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018400925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018406935
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584018406964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018412445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018424781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018425465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018434805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1584018438458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018446934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018487618
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584018489296
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1584018489466
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1584018494465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018494757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018510134
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1584018518682
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1584018518684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018521445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018523148
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1584018524693
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1584018524700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018524773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018527453
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1584018531762
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1584018531987
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1584018531994
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1011050] return code: 4, 'other error'",1584018534807
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1011050, /cygdrive/d/QuartusProject/sdram_2/software/sdram_lights/sdram_lights.elf] return code: 4, 'other error'",1584018538080
error,log,,,"Downloading ELF Process failed",1584018538085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584018538107
